      t(s)           x(m)           y(m)
   1.99000        9.98029        0.31444
   2.00000        9.98009        0.31602
   2.01000        9.97989        0.31760
   2.02000        9.97969        0.31918
   2.03000        9.97949        0.32075
   2.04000        9.97929        0.32233
   2.05000        9.97908        0.32391
   2.06000        9.97888        0.32549
   2.07000        9.97867        0.32707
   2.08000        9.97846        0.32864
   2.09000        9.97825        0.33022
   2.10000        9.97805        0.33180
   2.11000        9.97784        0.33338
   2.12000        9.97762        0.33495
   2.13000        9.97741        0.33653
   2.14000        9.97720        0.33811
   2.15000        9.97698        0.33969
   2.16000        9.97677        0.34126
   2.17000        9.97655        0.34284
   2.18000        9.97634        0.34442
   2.19000        9.97612        0.34600
   2.20000        9.97590        0.34757
   2.21000        9.97568        0.34915
   2.22000        9.97546        0.35073
   2.23000        9.97523        0.35231
   2.24000        9.97501        0.35388
   2.25000        9.97479        0.35546
   2.26000        9.97456        0.35704
   2.27000        9.97434        0.35861
   2.28000        9.97411        0.36019
   2.29000        9.97388        0.36177
   2.30000        9.97365        0.36334
   2.31000        9.97342        0.36492
   2.32000        9.97319        0.36650
   2.33000        9.97296        0.36808
   2.34000        9.97272        0.36965
   2.35000        9.97249        0.37123
   2.36000        9.97225        0.37281
   2.37000        9.97202        0.37438
   2.38000        9.97178        0.37596
   2.39000        9.97154        0.37754
   2.40000        9.97130        0.37911
   2.41000        9.97106        0.38069
   2.42000        9.97082        0.38227
   2.43000        9.97058        0.38384
   2.44000        9.97034        0.38542
   2.45000        9.97009        0.38700
   2.46000        9.96985        0.38857
   2.47000        9.96960        0.39015
   2.48000        9.96935        0.39172
   2.49000        9.96910        0.39330
   2.50000        9.96886        0.39488
   2.51000        9.96860        0.39645
   2.52000        9.96835        0.39803
   2.53000        9.96810        0.39961
   2.54000        9.96785        0.40118
   2.55000        9.96759        0.40276
   2.56000        9.96734        0.40433
   2.57000        9.96708        0.40591
   2.58000        9.96682        0.40749
   2.59000        9.96657        0.40906
   2.60000        9.96631        0.41064
   2.61000        9.96605        0.41221
   2.62000        9.96579        0.41379
   2.63000        9.96552        0.41536
   2.64000        9.96526        0.41694
   2.65000        9.96499        0.41852
   2.66000        9.96473        0.42009
   2.67000        9.96446        0.42167
   2.68000        9.96420        0.42324
   2.69000        9.96393        0.42482
   2.70000        9.96366        0.42639
   2.71000        9.96339        0.42797
   2.72000        9.96312        0.42954
   2.73000        9.96284        0.43112
   2.74000        9.96257        0.43269
   2.75000        9.96230        0.43427
   2.76000        9.96202        0.43585
   2.77000        9.96174        0.43742
   2.78000        9.96147        0.43900
   2.79000        9.96119        0.44057
   2.80000        9.96091        0.44215
   2.81000        9.96063        0.44372
   2.82000        9.96035        0.44530
   2.83000        9.96006        0.44687
   2.84000        9.95978        0.44844
   2.85000        9.95950        0.45002
   2.86000        9.95921        0.45159
   2.87000        9.95892        0.45317
   2.88000        9.95864        0.45474
   2.89000        9.95835        0.45632
   2.90000        9.95806        0.45789
   2.91000        9.95777        0.45947
   2.92000        9.95748        0.46104
   2.93000        9.95718        0.46262
   2.94000        9.95689        0.46419
   2.95000        9.95660        0.46576
   2.96000        9.95630        0.46734
   2.97000        9.95600        0.46891
   2.98000        9.95571        0.47049
   2.99000        9.95541        0.47206
   3.00000        9.95511        0.47364
   3.01000        9.95481        0.47521
   3.02000        9.95451        0.47678
   3.03000        9.95420        0.47836
   3.04000        9.95390        0.47993
   3.05000        9.95360        0.48151
   3.06000        9.95329        0.48308
   3.07000        9.95298        0.48465
   3.08000        9.95268        0.48623
   3.09000        9.95237        0.48780
   3.10000        9.95206        0.48937
   3.11000        9.95175        0.49095
   3.12000        9.95144        0.49252
   3.13000        9.95112        0.49409
   3.14000        9.95081        0.49567
   3.15000        9.95049        0.49724
   3.16000        9.95018        0.49881
   3.17000        9.94986        0.50039
   3.18000        9.94954        0.50196
   3.19000        9.94923        0.50353
   3.20000        9.94891        0.50511
   3.21000        9.94859        0.50668
   3.22000        9.94826        0.50825
   3.23000        9.94794        0.50983
   3.24000        9.94762        0.51140
   3.25000        9.94729        0.51297
   3.26000        9.94697        0.51454
   3.27000        9.94664        0.51612
   3.28000        9.94631        0.51769
   3.29000        9.94598        0.51926
   3.30000        9.94565        0.52083
   3.31000        9.94532        0.52241
   3.32000        9.94499        0.52398
   3.33000        9.94466        0.52555
   3.34000        9.94433        0.52712
   3.35000        9.94399        0.52870
   3.36000        9.94365        0.53027
   3.37000        9.94332        0.53184
   3.38000        9.94298        0.53341
   3.39000        9.94264        0.53499
   3.40000        9.94230        0.53656
   3.41000        9.94196        0.53813
   3.42000        9.94162        0.53970
   3.43000        9.94128        0.54127
   3.44000        9.94093        0.54284
   3.45000        9.94059        0.54442
   3.46000        9.94024        0.54599
   3.47000        9.93989        0.54756
   3.48000        9.93955        0.54913
   3.49000        9.93920        0.55070
   3.50000        9.93885        0.55227
   3.51000        9.93850        0.55385
   3.52000        9.93815        0.55542
   3.53000        9.93779        0.55699
   3.54000        9.93744        0.55856
   3.55000        9.93708        0.56013
   3.56000        9.93673        0.56170
   3.57000        9.93637        0.56327
   3.58000        9.93601        0.56484
   3.59000        9.93565        0.56642
   3.60000        9.93529        0.56799
   3.61000        9.93493        0.56956
   3.62000        9.93457        0.57113
   3.63000        9.93421        0.57270
   3.64000        9.93384        0.57427
   3.65000        9.93348        0.57584
   3.66000        9.93311        0.57741
   3.67000        9.93275        0.57898
   3.68000        9.93238        0.58055
   3.69000        9.93201        0.58212
   3.70000        9.93164        0.58369
   3.71000        9.93127        0.58526
   3.72000        9.93090        0.58683
   3.73000        9.93052        0.58840
   3.74000        9.93015        0.58997
   3.75000        9.92977        0.59154
   3.76000        9.92940        0.59311
   3.77000        9.92902        0.59468
   3.78000        9.92864        0.59625
   3.79000        9.92826        0.59782
   3.80000        9.92788        0.59939
   3.81000        9.92750        0.60096
   3.82000        9.92712        0.60253
   3.83000        9.92674        0.60410
   3.84000        9.92635        0.60567
   3.85000        9.92597        0.60724
   3.86000        9.92558        0.60881
   3.87000        9.92519        0.61038
   3.88000        9.92481        0.61195
   3.89000        9.92442        0.61352
   3.90000        9.92403        0.61509
   3.91000        9.92364        0.61666
   3.92000        9.92324        0.61822
   3.93000        9.92285        0.61979
   3.94000        9.92246        0.62136
   3.95000        9.92206        0.62293
   3.96000        9.92166        0.62450
   3.97000        9.92127        0.62607
   3.98000        9.92087        0.62764
   3.99000        9.92047        0.62921
   4.00000        9.92007        0.63077
   4.01000        9.91967        0.63234
   4.02000        9.91926        0.63391
   4.03000        9.91886        0.63548
   4.04000        9.91846        0.63705
   4.05000        9.91805        0.63862
   4.06000        9.91765        0.64018
   4.07000        9.91724        0.64175
   4.08000        9.91683        0.64332
   4.09000        9.91642        0.64489
   4.10000        9.91601        0.64646
   4.11000        9.91560        0.64802
   4.12000        9.91519        0.64959
   4.13000        9.91477        0.65116
   4.14000        9.91436        0.65273
   4.15000        9.91394        0.65429
   4.16000        9.91353        0.65586
   4.17000        9.91311        0.65743
   4.18000        9.91269        0.65900
   4.19000        9.91227        0.66056
   4.20000        9.91185        0.66213
   4.21000        9.91143        0.66370
   4.22000        9.91101        0.66526
   4.23000        9.91058        0.66683
   4.24000        9.91016        0.66840
   4.25000        9.90973        0.66996
   4.26000        9.90931        0.67153
   4.27000        9.90888        0.67310
   4.28000        9.90845        0.67467
   4.29000        9.90802        0.67623
   4.30000        9.90759        0.67780
   4.31000        9.90716        0.67936
   4.32000        9.90672        0.68093
   4.33000        9.90629        0.68250
   4.34000        9.90586        0.68406
   4.35000        9.90542        0.68563
   4.36000        9.90498        0.68720
   4.37000        9.90455        0.68876
   4.38000        9.90411        0.69033
   4.39000        9.90367        0.69189
   4.40000        9.90323        0.69346
   4.41000        9.90279        0.69502
   4.42000        9.90234        0.69659
   4.43000        9.90190        0.69816
   4.44000        9.90145        0.69972
   4.45000        9.90101        0.70129
   4.46000        9.90056        0.70285
   4.47000        9.90011        0.70442
   4.48000        9.89966        0.70598
   4.49000        9.89921        0.70755
   4.50000        9.89876        0.70911
